Estado,Cidade,Matriz,Grupo,Pipeline,Territorio
Goias,Arapua,ATVOS,ATVOS,Rep1-GO,Goias
Goias,Agua Emendada,ATVOS,ATVOS,Rep1-GO,Goias
Goias,Morro Vermelho,ATVOS,ATVOS,Rep1-GO,Goias
Goias,Rio Claro,ATVOS,ATVOS,Rep1-GO,Goias
Goias,Itumbiara,BP Bioenergy,BP Bioenergy,Rep3-Carbono,Bioenergia
Goias,Tropical,BP Bioenergy,BP Bioenergy,Rep3-Carbono,Bioenergia
Goias,Crixa,Coperssucar,Coperssucar,Rep4-Cooperativas,Cooperativa
Goias,Centralcool,Centralcool,Centralcool,Rep1-GO,Goias
Goias,Corradinhos Bio,Corradinho Bio,Corradinho Bio,Rep1-GO,Goias
Goias,Nacao - Rio Chapadao de Ceu,Corradinho Bio,Corradinho Bio,Rep1-GO,Goias
Goias,Central Energetica Morrinhos - CEM,Usina Colorado,Colorado,Rep3-Carbono,Bioenergia
Goias,Vila Boa,Companhia Bioenergetica Rondiaria - CBS,CBS,Rep3-Carbono,Bioenergia
Goias,Nova Linda,Denasa,Denasa,Rep1-GO,Goias
Goias,Rio Claro de Goias,Eter Bioenergia,Eter Bioenergia,Rep3-Carbono,Bioenergia
Goias,Acacus,Grupo Farias,Grupo Farias,Rep1-GO,Goias
Goias,Itapaci,Grupo Farias,Grupo Farias,Rep1-GO,Goias
Goias,Itapuranga,Grupo Farias,Grupo Farias,Rep1-GO,Goias
Goias,Goianesia,Grupo Goianesia,Grupo Goianesia,Rep1-GO,Goias
Goias,Goias Bioenergy,Goias Bioenergy,Goias Bioenergy,Rep3-Carbono,Bioenergia
Goias,Goiani,Goiania,Goiania,Rep1-GO,Goias
Goias,Serranopolis,Usina IPOLUCA,IPOLUCA,Rep1-GO,Goias
Goias,Jales Machado,Jales Machado,Jales Machado,Rep1-GO,Goias
Goias,Outeiro Lago,Outeiro Lago,Outeiro Lago,Rep1-GO,Goias
Goias,Rubiataba (Cooper-Rubi),Cooper-Rubi,Cooper-Rubi,Rep4-Cooperativas,Cooperativa
Goias,CRV Goias,CRV Goias,CRV Goias,Rep4-Cooperativas,Cooperativa
Goias,Lago Azul,Lago Azul,Lago Azul,Rep1-GO,Goias
Goias,Santa Helena,NAOUM,NAOUM,Rep1-GO,Goias
Goias,Indiruva,Indiruva,Indiruva,Rep1-GO,Goias
Goias,Centroeste,Raizen,Raizen,Rep1-GO,Goias
Goias,Rio Verde,Rio Verde,Rio Verde,Rep1-GO,Goias
Goias,Boa Vista,Sao Martinho,Sao Martinho,Rep1-GO,Goias
Goias,Sao Paulo (GO),Usina Sao Paulo,Usina Sao Paulo,Rep1-GO,Goias
Goias,Serra do Calapo,Serra do Calapo,Serra do Calapo,Rep1-GO,Goias
Goias,Rio Dourado,Cargill,Cargill,Rep1-GO,Goias
Goias,Sao Francisco (GO),Cargill,Cargill,Rep1-GO,Goias
Goias,Rubi Uruacu,IAPUNDI,IAPUNDI,Rep1-GO,Goias
Goias,Carima,Vale do Verdao,Vale do Verdao,Rep1-GO,Goias
Goias,Francesa,Vale do Verdao,Vale do Verdao,Rep1-GO,Goias
Goias,Panorama (GO),Vale do Verdao,Vale do Verdao,Rep1-GO,Goias
Goias,Vale do Verdao Maria,Vale do Verdao,Vale do Verdao,Rep1-GO,Goias
Goias,Bom Sucesso,VREC,VREC,Rep1-GO,Goias
Goias,Aponi,Nardini,Nardini,Rep1-GO,Goias
Goias,GEM Acreuna,GEM,GEM,Rep1-GO,Goias
Goias,VMG Bioenergy,VMG Bioenergy,VMG Bioenergy,Rep3-Carbono,Bioenergia
Goias,Itumbiara Energetica,Itumbiara Energetica,Itumbiara Energetica,Rep3-Carbono,Bioenergia
